KEYid,School Name,State,City,School Ranking,ACT Avg,SAT Avg,HS GPA Avg,Total Enrollment,Acceptance Rate,Percent Receiving Aid,Cost after Aid,Total Tuiton,Is Public?
3646,Texas Woman's University,TX,Denton,-1,17,820,3.1,10408,86.00%,0.00%,,21816,TRUE
3526,Trevecca Nazarene University,TN,Nashville,-1,19,930,3.4,2092,72.00%,0.00%,,25100,TRUE
1772,Trinity International University,IL,Deerfield,-1,19,880,3.2,1076,88.00%,0.00%,,30750,TRUE
3123,University of Akron,OH,Akron,-1,19,910,3.3,17416,96.00%,0.00%,,21863,TRUE
1101,University of Arkansas--Little Rock,AR,Little Rock,-1,19,930,3.1,9374,77.00%,0.00%,,19797,TRUE
2031,University of Louisiana--Lafayette,LA,Lafayette,-1,21,940,3.3,15998,52.00%,0.00%,,23074,TRUE
2020,University of Louisiana--Monroe,LA,Monroe,-1,19,920,3.5,7778,86.00%,0.00%,,20381,TRUE
2106,University of Maryland--Eastern Shore,MD,Princess Anne,-1,17,790,2.9,3278,38.00%,0.00%,,18048,TRUE
3509,University of Memphis,TN,Memphis,-1,19,890,3.4,17176,94.00%,0.00%,,21413,TRUE
2519,University of Missouri--St. Louis,MO,St. Louis,-1,21,940,3.4,13923,71.00%,0.00%,,27327,TRUE
2554,University of Nebraska--Omaha,NE,Omaha,-1,19,930,3.4,12536,86.00%,0.00%,,22035,TRUE
2569,University of Nevada--Las Vegas,NV,Las Vegas,-1,19,900,3.3,24714,83.00%,0.00%,,21498,TRUE
2015,University of New Orleans,LA,New Orleans,-1,20,950,3.2,6442,60.00%,0.00%,,13530,TRUE
2976,University of North Carolina--Greensboro,NC,Greensboro,-1,21,910,3.8,16281,74.00%,0.00%,,22410,TRUE
1349,University of Northern Colorado,CO,Greeley,-1,19,930,3.3,9503,90.00%,0.00%,,20474,TRUE
3594,University of North Texas,TX,Denton,-1,20,980,,31209,72.00%,0.00%,,23716,TRUE
1057,University of South Alabama,AL,Mobile,-1,20,875,3.5,11761,80.00%,0.00%,,19586,TRUE
2441,University of Southern Mississippi,MS,Hattiesburg,-1,20,940,3.3,11779,60.00%,0.00%,,9854,TRUE
3656,University of Texas--Arlington,TX,Arlington,-1,20,950,,32775,70.00%,0.00%,,25152,TRUE
3661,University of Texas--El Paso,TX,El Paso,-1,17,810,3.2,20521,100.00%,0.00%,,21396,TRUE
