Degree Type,Course Title,Institution Name,City Name,Subject,Language,Beginning Semester,Duration,Tuition Fee,Detail Link
Master's degree,MSc Big Data & Business Analytics,FOM International University,Essen,Computer Science,English,"Winter semester, Summer semester",4 semesters,varied,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8343/
Master's degree,MSc Biology (MBIO2),Heinrich Heine University Düsseldorf,Düsseldorf,Biology,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7713/
Master's degree,MSc Chemical and Biological Engineering (CBI),FAU Erlangen-Nürnberg,Erlangen,Mechanical Engineering / Process Engineering,"German, English","Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3729/
Master's degree,MSc Chemistry,FAU Erlangen-Nürnberg,Erlangen,Chemistry,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4405/
Master's degree,MSc Civil Engineering – Bauingenieurwesen,Technical University of Darmstadt,Darmstadt,Civil Engineering,"German, English","Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8333/
Master's degree,MSc Cognitive Science – Embodied Cognition,University of Potsdam,Potsdam,Psychology,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4696/
Master's degree,MSc Computational and Applied Mathematics (CAM),FAU Erlangen-Nürnberg,Erlangen,Mathematics,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4789/
Master's degree,MSc Data Analytics and Decision Science (DDS),RWTH Aachen University,Aachen,Computer Science,English,Winter semester,4 semesters,"EUR 7,500",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4874/
Master's degree,MSc Digital Health,Deggendorf Institute of Technology,Pfarrkirchen,Computer Science,English,Winter semester,3 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4600/
Master's degree,MSc Electrical Engineering and Information Technology,Deggendorf Institute of Technology,Deggendorf,Electrical Engineering,English,"Winter semester, Summer semester",3 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3833/
Master's degree,MSc Electromobility – ACES,FAU Erlangen-Nürnberg,Erlangen,Engineering in general,"English, German","Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8296/
Master's degree,MSc Global Change Geography – The Physical Geography of Human-Environment Systems,Humboldt-Universität zu Berlin,Berlin,Geography,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4714/
Master's degree,MSc Global Public Health,Deggendorf Institute of Technology,Pfarrkirchen,Medicine in general,English,Winter semester,3 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7728/
Master's degree,MSc High Performance Computing / Quantum Computing,Deggendorf Institute of Technology,Deggendorf,Computer Science,English,Summer semester,3 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7744/
Master's degree,MSc Human Technology in Sports and Medicine,German Sport University Cologne,Köln,Sport,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5487/
Master's degree,MSc in Cognitive Neuroscience (MCNB),Freie Universität Berlin,Berlin,Psychology,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7696/
Master's degree,MSc in International Sustainability Management,ESCP Berlin Campus,Berlin,Business and Economics,English,Winter semester,4 semesters,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8533/
Master's degree,MSc in Marine Microbiology (MarMic),Max Planck Institute for Marine Microbiology,Bremen,Biology,English,Winter semester,3 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3874/
Master's degree,MSc in Strategy and Digital Business,ESCP Berlin Campus,Berlin,Business and Economics,English,Winter semester,4 semesters,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8535/
Master's degree,MSc in Sustainability Entrepreneurship and Innovation,ESCP Berlin Campus,Berlin,Business and Economics,English,Winter semester,4 semesters,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8532/
